d,j,k,p,s,w,dj,dk,dp,ds,dw,jk,jp,js,jw,kp,ks,kw,ps,pw,sw,kwd,kwj,kwp,kws,kwdj,kwdp,kwds,kwpj,kwps,kwdpj,kwdps,kwdjps
1,1,1,1,0.6,1,1,1,1,0.5,1,1,1,0.6,1,1,0.6,1,0.5,1,0.6,1,1,1,0.6,1,1,0.6,1,0.6,1,0.6,0.6
1,1,1,1,0.8,1,1,1,1,0.8,1,1,1,0.8,1,1,0.8,1,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,0.4,1,1,1,1,0.4,1,1,1,0.4,1,1,0.4,1,0.4,1,0.4,1,1,1,0.4,1,1,0.4,1,0.4,1,0.4,0.4
1,1,1,1,0.6,1,1,1,1,0.6,1,1,1,0.6,1,1,0.6,1,0.6,1,0.8,1,1,1,0.8,1,1,0.7,1,1,1,0.7,1
1,1,1,1,0.4,1,1,1,1,0.4,1,1,1,0.4,1,1,0.4,1,0.4,1,0.4,1,1,1,0.4,1,1,0.4,1,0.4,1,0.4,0.4
1,1,1,1,0.6,1,1,1,1,0.6,1,1,1,0.6,1,1,0.6,1,0.6,1,0.8,1,1,1,0.8,1,1,0.7,1,1,1,0.7,1
1,1,1,1,0.4,1,1,1,1,0.4,1,1,1,0.4,1,1,0.4,1,0.4,1,0.4,1,1,1,0.4,1,1,0.4,1,0.4,1,0.4,0.4
1,1,1,1,0.6,1,1,1,1,0.6,1,1,1,0.6,1,1,0.6,1,0.6,1,0.8,1,1,1,0.8,1,1,0.7,1,1,1,0.7,1
1,1,1,1,0.4,1,1,1,1,0.4,1,1,1,0.4,1,1,0.4,1,0.4,1,0.4,1,1,1,0.4,1,1,0.4,1,0.4,1,0.4,0.4
1,1,1,1,0.6,1,1,1,1,0.6,1,1,1,0.6,1,1,0.6,1,0.6,1,0.8,1,1,1,0.8,1,1,0.7,1,1,1,0.7,1
1,1,1,1,0.7,1,1,1,1,0.7,1,1,1,0.7,1,1,0.7,1,0.7,1,0.7,1,1,1,0.7,1,1,0.7,1,0.7,1,0.6,0.7
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,0.4,1,1,1,1,0.4,1,1,1,0.4,1,1,0.4,1,0.4,1,0.4,1,1,1,0.4,1,1,0.4,1,0.4,1,0.4,0.4
1,1,1,1,1,1,1,1,1,1,1,1,1,0.9,1,1,1,1,1,1,0.6,1,1,1,0.6,1,1,0.6,1,0.5,1,0.5,0.5
1,1,1,1,0.4,1,1,1,1,0.4,1,1,1,0.4,1,1,0.4,1,0.4,1,0.4,1,1,1,0.4,1,1,0.4,1,0.4,1,0.4,0.4
1,1,1,1,1,1,1,1,1,1,1,1,1,0.7,1,1,1,1,1,1,0.6,1,1,1,0.6,1,1,0.6,1,0.5,1,0.5,0.5
1,1,1,1,0.4,1,1,1,1,0.4,1,1,1,0.4,1,1,0.4,1,0.4,1,0.4,1,1,1,0.4,1,1,0.4,1,0.4,1,0.4,0.4
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6,1,1,1,0.6,1,1,0.6,1,0.5,1,0.5,0.5
1,1,1,1,0.4,1,1,1,1,0.4,1,1,1,0.4,1,1,0.4,1,0.4,1,0.4,1,1,1,0.4,1,1,0.4,1,0.4,1,0.4,0.4
1,1,1,1,1,1,1,1,1,1,1,1,1,0.7,1,1,1,1,0.9,1,0.6,1,1,1,0.6,1,1,0.6,1,0.5,1,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,0.9,1,1,1,1,0.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,0.4,1,1,1,1,0.4,1,1,1,0.5,1,1,0.5,1,0.4,1,0.4,1,1,1,0.4,1,1,0.4,1,0.4,1,0.4,0.4
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,0.4,1,1,1,1,0.4,1,1,1,0.4,1,1,0.4,1,0.4,1,0.4,1,1,1,0.4,1,1,0.4,1,0.4,1,0.4,0.4
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1,1,0.5,1,0.5,1,0.4,1,1,1,0.4,1,1,0.4,1,0.4,1,0.4,0.4
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
