dfr_be_b_h1,0.788
dfr_be_b_h2,0.785
dfr_be_b_h3,0.786
dfr_be_b_no,0.789
dfr_be_b_z,0.784
dfr_be_l_h1,0.808
dfr_be_l_h2,0.814
dfr_be_l_h3,0.799
dfr_be_l_no,0.806
dfr_be_l_z,0.806
dfr_be_no_h1,0.215
dfr_be_no_h2,0.247
dfr_be_no_h3,0.388
dfr_be_no_no,0.172
dfr_be_no_z,0.234
dfr_d_b_h1,0.113
dfr_d_b_h2,0.17
dfr_d_b_h3,0.136
dfr_d_b_no,0.108
dfr_d_b_z,0.15
dfr_d_l_h1,0.3
dfr_d_l_h2,0.75
dfr_d_l_h3,0.429
dfr_d_l_no,0.273
dfr_d_l_z,0.313
dfr_d_no_h1,0.215
dfr_d_no_h2,0.169
dfr_d_no_h3,0.162
dfr_d_no_no,0.176
dfr_d_no_z,0.208
dfr_g_b_h1,0.782
dfr_g_b_h2,0.782
dfr_g_b_h3,0.782
dfr_g_b_no,0.782
dfr_g_b_z,0.782
dfr_g_l_h1,0.806
dfr_g_l_h2,0.813
dfr_g_l_h3,0.798
dfr_g_l_no,0.806
dfr_g_l_z,0.806
dfr_g_no_h1,0.216
dfr_g_no_h2,0.247
dfr_g_no_h3,0.388
dfr_g_no_no,0.173
dfr_g_no_z,0.235
dfr_if_b_h1,0.837
dfr_if_b_h2,0.829
dfr_if_b_h3,0.823
dfr_if_b_no,0.828
dfr_if_b_z,0.829
dfr_if_l_h1,0.868
dfr_if_l_h2,0.873
dfr_if_l_h3,0.873
dfr_if_l_no,0.879
dfr_if_l_z,0.875
dfr_if_no_h1,0.838
dfr_if_no_h2,0.789
dfr_if_no_h3,0.848
dfr_if_no_no,0.538
dfr_if_no_z,0.676
dfr_in_b_h1,0.78
dfr_in_b_h2,0.79
dfr_in_b_h3,0.78
dfr_in_b_no,0.782
dfr_in_b_z,0.783
dfr_in_l_h1,0.846
dfr_in_l_h2,0.841
dfr_in_l_h3,0.838
dfr_in_l_no,0.846
dfr_in_l_z,0.843
dfr_in_no_h1,0.817
dfr_in_no_h2,0.803
dfr_in_no_h3,0.814
dfr_in_no_no,0.613
dfr_in_no_z,0.733
dfr_ine_b_h1,0.864
dfr_ine_b_h2,0.869
dfr_ine_b_h3,0.865
dfr_ine_b_no,0.868
dfr_ine_b_z,0.868
dfr_ine_l_h1,0.87
dfr_ine_l_h2,0.888
dfr_ine_l_h3,0.876
dfr_ine_l_no,0.889
dfr_ine_l_z,0.889
dfr_ine_no_h1,0.674
dfr_ine_no_h2,0.65
dfr_ine_no_h3,0.722
dfr_ine_no_no,0.359
dfr_ine_no_z,0.495
dfr_p_b_h1,0.113
dfr_p_b_h2,0.171
dfr_p_b_h3,0.136
dfr_p_b_no,0.108
dfr_p_b_z,0.146
dfr_p_l_h1,0.312
dfr_p_l_h2,0.75
dfr_p_l_h3,0.437
dfr_p_l_no,0.292
dfr_p_l_z,0.324
dfr_p_no_h1,0.214
dfr_p_no_h2,0.17
dfr_p_no_h3,0.16
dfr_p_no_no,0.167
dfr_p_no_z,0.212
